id,state,name,address_line1,address_line2,city,district,pin_code
39289,Andhra Pradesh,"Sri VSSC Govt. Degree College, Sullurpeta",SHAR ROAD,SULLURPET,SULLURPET,Sri Potti Sriramulu Nellore,524123
41819,Maharashtra,"Kannada Sangha's Pune College of Commerce, Ganeshnagar, Erandavane, Pune-411038","36,Ganeshnagar, Erandavane, Pune-411038","Near CDSS,",Pune,Pune,411038
53204,Uttar Pradesh,"SRI RADHESHYAM MEMORIAL MAHAVIDYALAYA, NIRTRA, RAMPUR, RMABAI NAGAR",VILLAGE FARIDPUR NITARRA,POST GARIYA,NA,Kanpur Dehat,209301
25086,Rajasthan,Om Kothari Institute of Management & Research,"A-1 Special, I.P.I.A JHALAWAR ROAD",NEAR ANANTPURA CIRCLE,KOTA,Kota,324005
8491,Assam,Morongi Mahavidyalaya P.O.Doigung,Doigrung,Letekujan,-,Golaghat,785613
34497,Maharashtra,"Shri Guru Virupaksha Shivacharya Maharaj College, Manur",AT.POST.MANUR TQ. SHIRUR (KA.) DIST.BEED 413249,NA,MANUR,Bid,413249
29267,Punjab,Sant Hari Singh Memorial College for Women,V.P.O-CHELLA-MAKHSUSPUR,NA,NA,Hoshiarpur,144519
32918,Delhi,Management Education & Research Institute,"53-54, INSTITUTIONAL AREA, OPP. D BLOCK,",JANAKPUIRI NEW DELHI - 110058,NEW DELHI,West,110058
19601,Telangana,Anjamma Agi Reddy Engineering College for Women,"Bandalaguda ,Kashavgiri (post)",NA,Hyderabad-500005,Hyderabad,500005
12372,Uttar Pradesh,"SRI KRISHNA JANKA DEVI MAHAVIDYALAYA, RURA,",RURA,KANPUR DEHAT,KANPUR DEHAT,Kanpur Dehat,209303
22243,Punjab,"S. Amarjit Singh Memorial Institute of Law, Dhainthal (Samana), District Patiala",village dhainthal,patiala-samana road,Patiala,Patiala,147001
35230,Madhya Pradesh,"Govt. Girls College, Sehore",BHOPAL NAKA SEHORE,BHOPAL NAKA SEHORE,SEHORE,Sehore,466001
26859,Andhra Pradesh,"Siddharth Institute of Engineering & Technology, Puttur",Siddharth Nagar,"Naraynavanam Road,Puttur",Puttur,Chittoor,517583
8389,Assam,H.C.D.C. College P.O. Nitaipkhuri-785671,Nitaipukhuri,Nitaipukhuri,Sivasagar,Sivasagar,785671
